,Chi²,GainR,OneR,SU,IG,Rel,KT,PCF,Rimp,Rper,RFi,AUC,ANOVA,Mean,Rank
higher_yes,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.3846153846153846,1.0
failures,1.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,39.0,1.0,4.615384615384615,2.0
school_MS,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,38.0,3.0,5.6923076923076925,3.0
studytime,9.0,6.0,6.0,13.0,6.0,6.0,4.0,4.0,15.0,15.0,15.0,2.0,4.0,8.076923076923077,4.0
Fedu,5.0,10.0,10.0,17.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,3.0,5.0,8.461538461538462,5.0
Medu,6.0,13.0,13.0,20.0,13.0,13.0,6.0,6.0,12.0,12.0,12.0,4.0,6.0,10.461538461538462,6.0
Dalc,10.0,9.0,9.0,16.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0,35.0,9.0,12.76923076923077,7.0
age,27.0,7.0,7.0,18.0,7.0,7.0,11.0,11.0,9.0,9.0,9.0,36.0,11.0,13.0,8.0
traveltime,25.0,5.0,5.0,11.0,5.0,5.0,22.0,21.0,13.0,13.0,13.0,28.0,21.0,14.384615384615385,9.0
Walc,8.0,18.0,18.0,22.0,18.0,18.0,10.0,10.0,8.0,8.0,8.0,37.0,10.0,14.846153846153847,10.0
internet_yes,23.0,8.0,8.0,7.0,8.0,8.0,14.0,15.0,28.0,28.0,28.0,7.0,15.0,15.153846153846153,11.0
goout,21.0,15.0,15.0,21.0,15.0,15.0,18.0,19.0,7.0,7.0,7.0,33.0,19.0,16.307692307692307,12.0
Mjob_teacher,11.0,11.0,11.0,5.0,11.0,11.0,12.0,12.0,37.0,37.0,37.0,8.0,12.0,16.53846153846154,13.0
romantic_yes,14.0,17.0,17.0,12.0,17.0,17.0,16.0,17.0,16.0,16.0,16.0,32.0,17.0,17.23076923076923,14.0
reason_other,12.0,19.0,19.0,9.0,19.0,19.0,13.0,13.0,27.0,27.0,27.0,29.0,13.0,18.923076923076923,15.5
absences,3.0,31.0,31.0,31.0,31.0,31.0,20.0,16.0,2.0,2.0,2.0,30.0,16.0,18.923076923076923,15.5
sex_M,15.0,21.0,21.0,19.0,21.0,21.0,17.0,18.0,17.0,17.0,17.0,31.0,18.0,19.46153846153846,17.0
address_U,13.0,31.0,31.0,31.0,31.0,31.0,7.0,7.0,20.0,20.0,20.0,5.0,7.0,19.53846153846154,18.0
reason_home,17.0,20.0,20.0,15.0,20.0,20.0,19.0,20.0,25.0,25.0,25.0,9.0,20.0,19.615384615384617,19.0
Mjob_services,33.0,4.0,4.0,2.0,4.0,4.0,33.0,34.0,31.0,31.0,31.0,16.0,34.0,20.076923076923077,20.0
paid_yes,18.0,16.0,16.0,3.0,16.0,16.0,21.0,22.0,29.0,29.0,29.0,25.0,22.0,20.153846153846153,21.0
freetime,16.0,31.0,31.0,31.0,31.0,31.0,15.0,14.0,6.0,6.0,6.0,34.0,14.0,20.46153846153846,22.0
guardian_mother,29.0,14.0,14.0,10.0,14.0,14.0,28.0,28.0,24.0,24.0,24.0,26.0,28.0,21.307692307692307,23.0
reason_reputation,4.0,31.0,31.0,31.0,31.0,31.0,8.0,8.0,32.0,32.0,32.0,6.0,8.0,21.923076923076923,24.0
Mjob_other,34.0,12.0,12.0,8.0,12.0,12.0,34.0,35.0,26.0,26.0,26.0,22.0,35.0,22.615384615384617,25.0
famsize_LE3,22.0,31.0,31.0,31.0,31.0,31.0,23.0,23.0,19.0,19.0,19.0,10.0,23.0,24.076923076923077,26.0
famrel,32.0,31.0,31.0,31.0,31.0,31.0,39.0,29.0,5.0,5.0,5.0,20.0,29.0,24.53846153846154,27.0
activities_yes,26.0,31.0,31.0,31.0,31.0,31.0,26.0,26.0,18.0,18.0,18.0,11.0,26.0,24.923076923076923,28.0
schoolsup_yes,28.0,22.0,22.0,14.0,22.0,22.0,30.0,31.0,33.0,33.0,33.0,15.0,31.0,25.846153846153847,29.0
famsup_yes,30.0,31.0,31.0,31.0,31.0,31.0,29.0,30.0,23.0,23.0,23.0,12.0,30.0,27.307692307692307,30.0
health,37.0,31.0,31.0,31.0,31.0,31.0,35.0,37.0,11.0,11.0,11.0,23.0,37.0,27.46153846153846,31.0
Fjob_other,35.0,31.0,31.0,31.0,31.0,31.0,32.0,33.0,22.0,22.0,22.0,13.0,33.0,28.23076923076923,32.0
Fjob_services,24.0,31.0,31.0,31.0,31.0,31.0,24.0,24.0,30.0,30.0,30.0,27.0,24.0,28.307692307692307,33.0
Fjob_teacher,19.0,31.0,31.0,31.0,31.0,31.0,25.0,25.0,38.0,38.0,38.0,14.0,25.0,29.0,34.0
guardian_other,20.0,31.0,31.0,31.0,31.0,31.0,27.0,27.0,35.0,35.0,35.0,24.0,27.0,29.615384615384617,35.0
nursery_yes,38.0,31.0,31.0,31.0,31.0,31.0,37.0,38.0,21.0,21.0,21.0,21.0,38.0,30.0,36.0
Mjob_health,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0,34.0,34.0,34.0,17.0,32.0,30.76923076923077,37.0
Fjob_health,36.0,31.0,31.0,31.0,31.0,31.0,36.0,36.0,39.0,39.0,39.0,18.0,36.0,33.38461538461539,38.0
Pstatus_T,39.0,31.0,31.0,31.0,31.0,31.0,38.0,39.0,36.0,36.0,36.0,19.0,39.0,33.61538461538461,39.0
