Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
top33,Bagging,0.7845755719589023,0.03184819221496582,10.0,0.7990367359660314,2,False,True
top33,RandomForest,0.7990367359660314,0.23149466514587402,100.0,0.7990367359660314,2,True,True
top33,XGB,0.7768256697905037,0.2336435317993164,,0.7990367359660314,2,False,True
top33,KNN,0.7803967964499026,0.016142606735229492,0.016142606735229492,0.7990367359660314,2,False,True
top33,QDA,0.6914352026959063,0.0,0.0,0.7990367359660314,2,False,True
top66,Bagging,0.8009046430331785,0.04751443862915039,10.0,0.8548966021647137,2,False,True
top66,RandomForest,0.8548966021647137,0.2696671485900879,100.0,0.8548966021647137,2,True,True
top66,XGB,0.8194040996198743,0.3209035396575928,,0.8548966021647137,2,False,True
top66,KNN,0.7808667410096614,0.0,0.0,0.8548966021647137,2,False,True
top100,Bagging,0.8266879214978877,0.06307554244995117,10.0,0.8721618457326149,2,False,True
top100,RandomForest,0.8721618457326149,0.2555043697357178,100.0,0.8721618457326149,2,True,True
top100,XGB,0.8418521899049087,0.2800302505493164,,0.8721618457326149,2,False,True
top100,NaiveBayes,0.7219093429879512,0.0,0.0,0.8721618457326149,2,False,True
