,Chi²,GainR,OneR,SU,IG,Rel,KT,PCF,Rimp,Rper,RFi,AUC,ANOVA,Mean,Rank
thal_Fixed Defect,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.3076923076923075,1.0
oldpeak,2.0,2.0,2.0,13.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,19.0,4.0,4.846153846153846,2.0
thalach,1.0,7.0,7.0,14.0,7.0,7.0,8.0,5.0,1.0,1.0,1.0,2.0,5.0,5.076923076923077,3.0
ca,3.0,3.0,3.0,12.0,3.0,3.0,4.0,7.0,3.0,3.0,3.0,17.0,7.0,5.461538461538462,4.0
thal_Reversible Defect,7.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,8.0,8.0,8.0,18.0,2.0,5.6923076923076925,5.0
slope_Peak Excercise ST Slope 2,10.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,11.0,11.0,11.0,3.0,6.0,6.6923076923076925,6.0
exang_Exercise Induced Angina,8.0,8.0,8.0,5.0,8.0,8.0,3.0,3.0,9.0,9.0,9.0,16.0,3.0,7.461538461538462,7.0
cp_Chest Pain Type 2,11.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,4.0,9.0,8.846153846153847,8.0
chol,6.0,6.0,6.0,15.0,6.0,6.0,16.0,17.0,7.0,7.0,7.0,11.0,17.0,9.76923076923077,9.0
slope_Peak Excercise ST Slope 1,12.0,10.0,10.0,8.0,10.0,10.0,6.0,8.0,12.0,12.0,12.0,15.0,8.0,10.23076923076923,10.0
sex_Male,14.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,13.0,13.0,13.0,13.0,10.0,11.846153846153847,11.0
age,5.0,17.5,17.5,17.5,17.5,17.5,12.0,12.0,5.0,5.0,5.0,14.0,12.0,12.115384615384615,12.0
trestbps,4.0,17.5,17.5,17.5,17.5,17.5,15.0,14.0,6.0,6.0,6.0,12.0,14.0,12.653846153846153,13.0
cp_Chest Pain Type 3,17.0,13.0,13.0,6.0,13.0,13.0,17.0,16.0,15.0,15.0,15.0,7.0,16.0,13.538461538461538,14.0
fbs_Fasting Blood Sugar > 120,19.0,11.0,11.0,2.0,11.0,11.0,19.0,19.0,17.0,17.0,17.0,9.0,19.0,14.0,15.0
cp_Chest Pain Type 1,13.0,17.5,17.5,17.5,17.5,17.5,11.0,11.0,16.0,16.0,16.0,5.0,11.0,14.346153846153847,16.0
thal_Normal,16.0,14.0,14.0,9.0,14.0,14.0,14.0,15.0,18.0,18.0,18.0,10.0,15.0,14.538461538461538,17.0
restecg_Rest ECG 1,15.0,17.5,17.5,17.5,17.5,17.5,13.0,13.0,14.0,14.0,14.0,6.0,13.0,14.576923076923077,18.0
restecg_Rest ECG 2,18.0,15.0,15.0,11.0,15.0,15.0,18.0,18.0,19.0,19.0,19.0,8.0,18.0,16.0,19.0
