Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon
top33,AdaBoost,0.8470383275261325,0.12700438499450684,50.0,0.9114982578397212,3,False
top33,Bagging,0.7853658536585366,0.022653579711914062,10.0,0.9114982578397212,3,False
top33,GBM,0.802439024390244,0.1497049331665039,100.0,0.9114982578397212,3,False
top33,ERT,0.7780487804878049,0.12775230407714844,100.0,0.9114982578397212,3,False
top33,RandomForest,0.8160278745644599,0.1653590202331543,100.0,0.9114982578397212,3,False
top33,XGB,0.7536585365853659,0.05897331237792969,,0.9114982578397212,3,False
top33,LogisticRegression,0.9080139372822299,0.037194013595581055,6.0,0.9114982578397212,3,True
top33,NaiveBayes,0.9059233449477352,0.002099752426147461,0.002099752426147461,0.9114982578397212,3,True
top33,MLP,0.8961672473867596,0.1559455394744873,100.0,0.9114982578397212,3,False
top33,KNN,0.7738675958188154,0.002012491226196289,0.002012491226196289,0.9114982578397212,3,False
top33,SVM,0.8383275261324042,0.009873628616333008,0.009873628616333008,0.9114982578397212,3,False
top33,DecisionTree,0.6456445993031359,0.0029723644256591797,10.0,0.9114982578397212,3,False
top33,LDA,0.9114982578397212,0.002005338668823242,6.0,0.9114982578397212,3,True
top33,QDA,0.862020905923345,0.002003908157348633,0.002003908157348633,0.9114982578397212,3,False
top66,AdaBoost,0.880836236933798,0.12340664863586426,50.0,0.9191637630662021,4,False
top66,Bagging,0.8491289198606271,0.03065943717956543,10.0,0.9191637630662021,4,False
top66,GBM,0.8689895470383275,0.14561676979064941,100.0,0.9191637630662021,4,False
top66,ERT,0.9066202090592334,0.11877799034118652,100.0,0.9191637630662021,4,False
top66,RandomForest,0.9097560975609755,0.15268945693969727,100.0,0.9191637630662021,4,True
top66,XGB,0.8682926829268294,0.07541108131408691,,0.9191637630662021,4,False
top66,LogisticRegression,0.9191637630662021,0.13919639587402344,12.0,0.9191637630662021,4,True
top66,NaiveBayes,0.90801393728223,0.0010180473327636719,0.0010180473327636719,0.9191637630662021,4,False
top66,MLP,0.9121951219512195,0.10852241516113281,100.0,0.9191637630662021,4,True
top66,KNN,0.7456445993031359,0.002018451690673828,0.002018451690673828,0.9191637630662021,4,False
top66,SVM,0.8282229965156795,0.011218786239624023,0.011218786239624023,0.9191637630662021,4,False
top66,DecisionTree,0.6637630662020906,0.0030164718627929688,9.0,0.9191637630662021,4,False
top66,LDA,0.9191637630662021,0.0020139217376708984,12.0,0.9191637630662021,4,True
top66,QDA,0.8710801393728222,0.0010042190551757812,0.0010042190551757812,0.9191637630662021,4,False
top100,AdaBoost,0.8815331010452961,0.10120391845703125,50.0,0.929616724738676,2,False
top100,Bagging,0.8651567944250871,0.03221321105957031,10.0,0.929616724738676,2,False
top100,GBM,0.8787456445993032,0.15511178970336914,100.0,0.929616724738676,2,False
top100,ERT,0.9080139372822299,0.1286334991455078,100.0,0.929616724738676,2,False
top100,RandomForest,0.8982578397212543,0.16690444946289062,100.0,0.929616724738676,2,False
top100,XGB,0.8773519163763066,0.07159614562988281,,0.929616724738676,2,False
top100,LogisticRegression,0.929616724738676,0.23798561096191406,19.0,0.929616724738676,2,True
top100,NaiveBayes,0.8982578397212544,0.002527952194213867,0.002527952194213867,0.929616724738676,2,False
top100,MLP,0.6815331010452962,0.026092529296875,100.0,0.929616724738676,2,False
top100,KNN,0.7613240418118468,0.0010018348693847656,0.0010018348693847656,0.929616724738676,2,False
top100,SVM,0.8480836236933799,0.017180204391479492,0.017180204391479492,0.929616724738676,2,False
top100,DecisionTree,0.6578397212543554,0.002529144287109375,9.0,0.929616724738676,2,False
top100,LDA,0.9212543554006969,0.0030236244201660156,19.0,0.929616724738676,2,True
top100,QDA,0.5996515679442509,0.0032951831817626953,0.0032951831817626953,0.929616724738676,2,False
