Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
top33,XGB,0.8738675958188153,0.11205673217773438,,0.8860627177700349,2,False,True
top33,LogisticRegression,0.8811846689895471,0.02777409553527832,6.0,0.8860627177700349,2,True,True
top33,MLP,0.8860627177700349,0.10879278182983398,100.0,0.8860627177700349,2,True,True
top66,Bagging,0.7724738675958189,0.06386208534240723,10.0,0.8825783972125437,3,False,True
top66,RandomForest,0.8825783972125437,0.16474199295043945,100.0,0.8825783972125437,3,True,True
top66,XGB,0.8745644599303136,0.07062053680419922,,0.8825783972125437,3,True,True
top66,LDA,0.8571428571428571,0.0036449432373046875,12.0,0.8825783972125437,3,False,True
top100,Bagging,0.8069686411149826,0.03357052803039551,10.0,0.8787456445993032,1,False,True
top100,XGB,0.8529616724738677,0.08428335189819336,,0.8787456445993032,1,False,True
top100,LogisticRegression,0.8501742160278746,0.2793571949005127,19.0,0.8787456445993032,1,False,True
top100,MLP,0.8787456445993032,0.09100770950317383,100.0,0.8787456445993032,1,True,True
top100,DecisionTree,0.7554006968641115,0.0038983821868896484,8.0,0.8787456445993032,1,False,True
