Subset,Model,AUC,TrainingTime,Complexity,BestAUC,RashomonVolume,WithinEpsilon,ParetoFront
top33,AdaBoost,0.9847736993986835,0.10947275161743164,50.0,0.9972946603397711,4,False,True
top33,Bagging,0.9813898546022033,0.02870345115661621,10.0,0.9972946603397711,4,False,True
top33,GBM,0.9972946603397711,0.5781564712524414,100.0,0.9972946603397711,4,True,True
top33,XGB,0.9964704190636969,0.1464383602142334,,0.9972946603397711,4,True,True
top33,LogisticRegression,0.9792731838528215,0.3650360107421875,9.0,0.9972946603397711,4,False,True
top33,NaiveBayes,0.975661169933358,0.002985239028930664,0.002985239028930664,0.9972946603397711,4,False,True
top33,KNN,0.970767683607828,0.0023963451385498047,0.0023963451385498047,0.9972946603397711,4,False,True
top66,Bagging,0.9940905298289527,0.04521656036376953,10.0,0.9997855343871196,6,True,True
top66,GBM,0.9992822818646765,0.9366929531097412,100.0,0.9997855343871196,6,True,True
top66,XGB,0.9997855343871196,0.1557912826538086,,0.9997855343871196,6,True,True
top66,NaiveBayes,0.9135416519710292,0.0020291805267333984,0.0020291805267333984,0.9997855343871196,6,False,True
top66,KNN,0.8492112490317675,0.001003265380859375,0.001003265380859375,0.9997855343871196,6,False,True
top66,DecisionTree,0.9679934156826469,0.004671335220336914,7.0,0.9997855343871196,6,False,True
top100,Bagging,0.9914858778054622,0.05897235870361328,10.0,0.9997129127458706,7,True,True
top100,GBM,0.9997129127458706,1.3373775482177734,100.0,0.9997129127458706,7,True,True
top100,XGB,0.999641990760055,0.17370057106018066,,0.9997129127458706,7,True,True
top100,KNN,0.821544897317421,0.001104116439819336,0.001104116439819336,0.9997129127458706,7,False,True
top100,LDA,0.9927299990161176,0.00580906867980957,27.0,0.9997129127458706,7,True,True
top100,QDA,0.9847075047513094,0.002178668975830078,0.002178668975830078,0.9997129127458706,7,False,True
